акашик;akashic
алдрон;aldron
амбраром;ambrarome
амбертоун;ambertone
амбретт;ambrette
амбреттолид;ambrettolide
амброценид;abmrocenide
амбростар;ambrostar
амброксан;ambroxan
нот;animal notes
антамбер;anthamber
бекон;bacon
барбек;bbq
воск;beeswas
качалокс;cachalox
кастореум;castoreum
икр;caviar
цеталокс;cetalox
сыр;cheese
цибет;civet
циветтон;civettone
риф;coral reef
замш;daim
экзалтолид;exaltolide
перь;feathers
мех;fur
генет;genet
коз;goat
гризальв;grisalva
хабанолид;habanolide
гирацеум;hyraceum
кефалис;kephalis
киф;kyphi
кож;leather
мяс;meat
молок;milk
мускус;musk
мускон;muscone
ондатр;muskrat
устриц;oysters
сафьян;saffiano leather
ракушк;sea shells
скатол;skatole
кож;skin
морская звезд;starfish
замш;suede
сильколид;sylkolide
тол;tolu balsam
трюфел;truffle
вельвион;velvione