абсент;absinthe
адвокат;advocaat
альмдюдлер;almdudler
амаретт;amaretto
амарул;amarula
аперол;aperol
эпплджек;applejack
ирландский крем;irish cream
батид;batida
пив;beer
эл;ale
беллин;belini
маргарит;margarita
бохе;bohea
алкоголь;boozy notes
бурбон;bourbon
ром;rum
кашас;cachaca
латт;latte
кайпиринь;caipirinha
кальвадос;calvados
кампар;campari
капучин;cappuccino
шампанск;champagne
ликер;liquor
чинотт;chinotto
кока-кола;coca-cola
коньяк;cognac
коктейл;cocktail
крем-сода;cream soda
блю курасао;curacao
дайкир;daiquiri
эспресс;espresso
женеп;genepi
джин;gin
гольдвассер;goldwasser
гренадин;grenadine
хай-фай;hi-fi
горячий шоколад;hot chocolate
кав;kava
кир роял;kir royal
лимонад;lemonade
лимончелл;limoncello
маккиат;macchiato
мадер;madeira
май тай;mai tai
мартин;martini
мескал;mezcal
мидор;midori
мокк;mocha
мохит;mojito
самогон;moonshine
мул;moscow mule
негрон;negroni
уз;ouzo
пина-колад;pina colada
просекк;procecco
пунш;punch
рак;raki
красное вин;red wine
розовое вин;rose wine
белое вин;white wine
сак;sake
сангри;sangria
херес;sherry
содж;soju
соевое молок;soy milk
газированная вод;sparkling water
игристое вин;sparkling wine
текил;tequila
тоник;tonic
умеш;umeshu
вермут;vermouth
виск;whiskey
уксус;vinegar
водк;vodka
молок;milk