асаи;acai berry
асерол;acerola
желуд;acorn
акеб;akebia
миндал;almond
яблок;apple
абрикос;apricot
арган;argan
артишок;artichoke
рябин;ashberry
банан;banana
барбарис;barberry
толокнянк;bearberry
свекл;beetroot
дын;melon
черная смородин;black currant
сапот;sapote
грецкий орех;walnut
ежевик;blackberry
терн;blackthorn
черник;blueberry
бойзенберр;boysenberry
бурит;buriti
вишн;cherry
виноград;grape
карамбол;carambola
морков;carrot
кеш;cashew
цветная капуст;cauliflower
гриб;cepes
чайот;chayote
черим;cherimoya
каштан;chestnut
чи;chia seed
нут;chickpeas
магноли;magnolia
морошк;cloudberry
какао;cocoa
кокос;coconut
гриб;cogumelo porcino
хво;conifer
кукуруз;corn
граф;count's fruit
клюкв;cranberry
огурец;cucumber
смородин;currant
чуф;cyperus
дайкон;daikon
черная слив;dark plum
ежевик;dewberry
дуриан;durian
бузин;elderberry
фейх;feijoa
инжир;fig
фрукт;fruity
клубник;strawberry
женипап;genipapo
годж;goji berry
крыжовник;gooseberry
зерн;grains
виноград;grape
груша;pear
слив;green plum
ренклод;greengage
физалис;ground cherry
гуаран;guarana
гуав;guava
фундук;hazelnut
момбин;hog plum
жаботикаб;jabuticaba
джекфрут;jackfruit
кив;kiwi
кумбар;kumbaru
брусник;lingonberry
лич;litchi
логанберр;loganberry
лонган;longan
лукум;lucuma
макад;macadamia
махони;mahonia
солод;malt
маме;mamey
манг;mango
мангостин;mangosteen
манинк;maninka
слив;marian plum
дын;melon
прос;millet
мирабел;mirabelle
чудо-ягод;miracle berry
шелковиц;mulberry
мунг;mung bean
гриб;mushroom
нектарин;nectarine
бами;okra
олив;olive
папа;papaya
мараку;passionfruit
горох;pea
персик;peach
арахис;peanut
груш;pear
пекан;pecan
хурм;persimmon
ананас;pineapple
фисташк;pistachio
питаха;pitahaya
питанг;pitanga
плантан;plantain
слив;plum
гранат;pomegranate
картофел;potato
тыкв;pumpkin
айв;quince
рамбутан;rambutan
малин;raspberry
смородин;red currant
шелковиц;red mulberry
ревен;rhubarb
жаренные орех;roasted nuts
салак;salak
сантол;santol
саподилл;sapodilla
сарсапарилл;sarsaparilla
смилакс;sarsaparilla
облепих;sea buckthorn
сиригуэл;seriguela
ши;shea
лох;silverberry
снежноягодник;snowberry
гуанабан;soursop
со;soybean
тыкв;squash
таман;tamanu
тапиок;tapioca
тар;taro
тейберр;tayberry
томат;tomato
тукум;tucuma
арбуз;watermelon
акаци;wattleseed
смородин;white currant
падуб;winterberry
волчья ягода;wolfberry
ямберр;yumberry
ягоды;berries
земляник;strawberry