перец;allspice
анис;anise
асафетид;asafoetida
лавр;bay
бенгальский перец;bengal pepper
бирьян;biryani
тмин;caraway
кардамон;cardamom
рипер;carolina reaper
тмин;carum
касси;cassia
чатн;chutney
кориц;cinnamon
гвоздик;clove
коф;coffee
кориандр;coriander
зир;cumin
карр;curry
куркум;curcuma
укроп;dill
фенхел;fennel
пажитник;fenugreek
галангал;galanga
имбир;ginger
гвинейский перец;guinea pepper
специ;indian spices
японский перец;japanese pepper
солодк;licorice
мацис;mace
горчиц;mustard seed
мускатный орех;nutmeg
оливковые нот;oily notes
восточные нот;oriental notes
перец;pepper
пимент;pimento
розовый перец;pink pepper
шафран;saffron
сафралеин;safraleine
кунжут;sesame
пряные нот;spicy notes
бадьян;star anise
сум;sumac
тамаринд;tamarind
тимур;timur
тонк;tonka bean
тосканол;toscanol
ванил;vanilla
васаб;wasabi
тонка;tonka beans